product_id,channel,month,marketing_spend,strategy_code,campaign_name
SKU-07600,Wholesale,2025-03,2095.38,PPC,Up-sized even-keeled algorithm
SKU-00154,Online,2025-06,4369.59,TV-Ad,Triple-buffered analyzing pricing structure
SKU-02249,Retail,2025-04,8077.03,TV-Ad,Public-key mission-critical encryption
SKU-09352,Retail,2025-01,3571.79,TV-Ad,Cross-group 24/7 methodology
SKU-01997,Retail,2024-10,7617.31,TV-Ad,Phased fault-tolerant interface
SKU-01357,Retail,2025-01,7937.01,TV-Ad,Multi-lateral object-oriented circuit
SKU-06017,Online,2024-09,1171.75,PPC,Cross-group 6thgeneration success
SKU-00999,Retail,2024-08,5366.84,PPC,Universal incremental application
SKU-06126,Online,2024-07,2432.91,Influencer,Inverse modular neural-net
SKU-05030,Online,2024-11,4373.2,PPC,Virtual even-keeled neural-net
SKU-05617,Retail,2025-01,5240.43,TV-Ad,Adaptive tangible portal
SKU-06881,Wholesale,2025-02,6796.4,Influencer,Cross-group incremental infrastructure
SKU-07563,Wholesale,2025-01,6996.62,Influencer,Monitored executive leverage
SKU-00882,Wholesale,2024-08,8945.79,Influencer,Stand-alone systematic migration
SKU-06259,Online,2025-04,2164.76,PPC,Networked intermediate website
SKU-01253,Wholesale,2024-11,9219.44,TV-Ad,Versatile heuristic functionalities
SKU-00757,Retail,2025-06,1715.58,PPC,Monitored maximized frame
SKU-05549,Wholesale,2025-06,3579.7,TV-Ad,Cross-group heuristic Graphic Interface
SKU-06587,Wholesale,2024-08,1210.36,PPC,Secured radical paradigm
SKU-08443,Retail,2024-11,3586.77,Email,Adaptive client-server help-desk
SKU-02438,Wholesale,2025-04,1719.76,Email,Visionary 6thgeneration infrastructure
SKU-03787,Online,2024-09,8460.84,Influencer,Distributed full-range orchestration
SKU-04943,Online,2024-07,5460.98,PPC,Secured next generation interface
SKU-03888,Online,2025-05,1647.22,PPC,Right-sized intangible middleware
SKU-00442,Online,2025-05,8369.7,Email,Monitored reciprocal benchmark
SKU-01142,Wholesale,2025-03,4309.33,TV-Ad,Proactive object-oriented instruction set
SKU-00699,Wholesale,2024-10,4001.93,Influencer,Face-to-face incremental utilization
SKU-02103,Online,2025-06,8622.57,Influencer,Optional directional initiative
SKU-03962,Retail,2024-07,4548.06,PPC,Organic incremental challenge
SKU-08987,Retail,2025-05,6220.82,TV-Ad,Face-to-face tertiary secured line
SKU-05719,Wholesale,2024-12,6278.86,Email,Enterprise-wide 3rdgeneration architecture
SKU-06724,Wholesale,2024-09,1284.75,TV-Ad,Grass-roots asynchronous intranet
SKU-00497,Wholesale,2025-02,7249.67,Email,Re-contextualized empowering installation
SKU-09319,Wholesale,2025-02,9472.76,TV-Ad,Assimilated bandwidth-monitored encoding
SKU-00732,Wholesale,2024-07,870.91,PPC,Diverse foreground toolset
SKU-08601,Wholesale,2025-01,1101.4,PPC,Mandatory homogeneous archive
SKU-01336,Online,2024-08,4293.93,Influencer,Multi-layered motivating paradigm
SKU-08919,Wholesale,2024-07,3140.28,TV-Ad,Down-sized dedicated contingency
SKU-09298,Wholesale,2024-08,6298.17,TV-Ad,Managed cohesive archive
SKU-09408,Retail,2024-11,1955.23,TV-Ad,Progressive hybrid open system
SKU-05979,Retail,2025-01,2148.71,Influencer,Extended incremental software
SKU-06825,Wholesale,2024-08,7365.27,TV-Ad,Cloned interactive time-frame
SKU-09048,Retail,2025-04,2285.75,PPC,Customizable reciprocal workforce
SKU-01684,Retail,2024-11,2458.0,Influencer,Reactive intangible attitude
SKU-05623,Online,2025-05,596.29,Influencer,Up-sized interactive policy
SKU-03742,Wholesale,2025-01,8525.19,PPC,Polarized dedicated Internet solution
SKU-09245,Wholesale,2024-09,727.4,TV-Ad,Customizable cohesive knowledgebase
SKU-03820,Wholesale,2025-03,6987.23,PPC,Persistent zero-defect flexibility
SKU-05564,Wholesale,2024-08,302.43,TV-Ad,Front-line stable open architecture
SKU-01954,Online,2025-03,2147.07,PPC,Assimilated contextually-based framework
SKU-06300,Online,2024-12,6871.72,Influencer,Down-sized contextually-based installation
SKU-09677,Wholesale,2024-09,6294.97,Influencer,Expanded well-modulated time-frame
SKU-00214,Online,2025-05,914.5,PPC,Exclusive system-worthy conglomeration
SKU-07086,Retail,2024-10,8148.3,Influencer,Proactive cohesive collaboration
SKU-05861,Retail,2024-11,9893.17,Influencer,Self-enabling multi-state projection
SKU-03164,Retail,2025-03,9348.59,TV-Ad,Upgradable intangible hub
SKU-07431,Online,2024-07,1853.73,Influencer,Centralized bi-directional Internet solution
SKU-07275,Retail,2025-01,5263.7,Email,Progressive interactive extranet
SKU-00795,Wholesale,2025-04,1377.18,Influencer,Object-based eco-centric archive
SKU-06192,Online,2024-11,1634.42,Email,Mandatory logistical benchmark
SKU-04599,Wholesale,2025-06,9143.69,TV-Ad,Synergistic content-based monitoring
SKU-08314,Online,2025-06,7668.36,Influencer,Fundamental explicit middleware
SKU-00990,Retail,2025-02,8174.02,Influencer,Synergistic bifurcated knowledgebase
SKU-07813,Retail,2025-05,6289.11,Email,Profound bottom-line leverage
SKU-00680,Wholesale,2025-05,7892.02,TV-Ad,Up-sized cohesive service-desk
SKU-04367,Online,2024-12,8250.47,TV-Ad,Up-sized secondary artificial intelligence
SKU-04282,Online,2025-07,5154.95,PPC,Customer-focused value-added website
SKU-07739,Online,2024-07,7350.16,Influencer,Networked exuding concept
SKU-04722,Wholesale,2024-10,5741.22,PPC,Compatible full-range solution
SKU-03900,Online,2024-09,5766.93,PPC,Phased holistic frame
SKU-06911,Retail,2025-02,3637.66,TV-Ad,Advanced human-resource architecture
SKU-08577,Online,2025-06,7057.92,Email,Polarized neutral ability
SKU-07156,Online,2024-08,4641.2,PPC,Versatile value-added function
SKU-05321,Wholesale,2024-10,9031.85,Influencer,Profit-focused secondary firmware
SKU-07331,Wholesale,2025-03,9070.7,Influencer,Digitized content-based matrix
SKU-03469,Online,2024-09,7923.05,PPC,Enhanced multi-tasking groupware
SKU-03616,Retail,2025-01,1667.27,Influencer,Universal asymmetric alliance
SKU-04882,Retail,2025-07,8803.07,Email,Ameliorated disintermediate contingency
SKU-09673,Wholesale,2024-10,5494.79,Email,Virtual well-modulated infrastructure
SKU-04245,Online,2024-07,3979.97,Email,Managed solution-oriented moratorium
SKU-05724,Online,2024-09,330.04,TV-Ad,Cloned multimedia algorithm
SKU-06694,Wholesale,2025-01,7653.23,PPC,Business-focused motivating framework
SKU-03120,Retail,2025-01,2991.55,TV-Ad,Versatile asynchronous help-desk
SKU-00834,Online,2024-12,6915.05,Influencer,Vision-oriented radical open architecture
SKU-03446,Online,2024-08,8420.62,Email,Cloned zero-defect benchmark
SKU-02721,Wholesale,2024-10,3856.36,Email,Profound explicit help-desk
SKU-02218,Wholesale,2025-04,6273.32,Influencer,Realigned grid-enabled focus group
SKU-04430,Retail,2025-05,6221.55,PPC,Upgradable radical open system
SKU-03238,Wholesale,2025-05,4816.58,TV-Ad,Quality-focused systemic strategy
SKU-00185,Retail,2025-01,3328.03,TV-Ad,Reverse-engineered neutral concept
